,cluster,"('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia canis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia chaffeensis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia ruminantium')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga canimorsus')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga algicola')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga lytica')","('precision', '', '')"
contig_size,0,0.01020408163265306,,,,,0.47959183673469385,0.51020408163265307,0.51020408163265307
contig_size,1,,,,,1.0,,,1.0
contig_size,2,0.33333333333333331,0.078431372549019607,0.58823529411764708,,,,,0.58823529411764708
contig_size,3,,,,0.98039215686274506,,0.019607843137254902,,0.98039215686274506
contig_size,4,0.31914893617021278,0.61702127659574468,0.063829787234042548,,,,,0.61702127659574468
contig_size,5,,,,,1.0,,,1.0
contig_size,6,,,,,0.93548387096774188,0.064516129032258063,,0.93548387096774188
