family,genus,species,"('contig_size', 0)","('contig_size', 1)","('contig_size', 2)","('contig_size', 3)","('contig_size', 4)","('contig_size', 5)","('contig_size', 6)","('recall', '')"
Anaplasmataceae,Ehrlichia,Ehrlichia canis,0.030303030303030304,,0.51515151515151514,,,0.45454545454545453,,0.51515151515151514
Anaplasmataceae,Ehrlichia,Ehrlichia chaffeensis,,,0.87878787878787878,,,0.12121212121212122,,0.87878787878787878
Anaplasmataceae,Ehrlichia,Ehrlichia ruminantium,,,0.12121212121212122,,,0.87878787878787878,,0.87878787878787878
Flavobacteriaceae,Capnocytophaga,Capnocytophaga canimorsus,,,,0.97999999999999998,,,0.02,0.97999999999999998
Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,,0.95999999999999996,,,0.040000000000000001,,,0.95999999999999996
Flavobacteriaceae,Cellulophaga,Cellulophaga algicola,0.95999999999999996,,,0.040000000000000001,,,,0.95999999999999996
Flavobacteriaceae,Cellulophaga,Cellulophaga lytica,1.0,,,,,,,1.0
