,cluster,"('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia canis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia chaffeensis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia ruminantium')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga canimorsus')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga algicola')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga lytica')","('precision', '', '')"
contig_size,0,,,,0.4845360824742268,,0.50515463917525771,0.010309278350515464,0.50515463917525771
contig_size,1,,,,,,0.02,0.97999999999999998,0.97999999999999998
contig_size,2,,,,0.057142857142857141,0.94285714285714284,,,0.94285714285714284
contig_size,3,,,,1.0,,,,1.0
contig_size,4,0.38181818181818183,0.072727272727272724,0.54545454545454541,,,,,0.54545454545454541
contig_size,5,,,,,1.0,,,1.0
contig_size,6,0.27272727272727271,0.65909090909090906,0.068181818181818177,,,,,0.65909090909090906
