family,genus,species,"('contig_size', 0)","('contig_size', 1)","('contig_size', 2)","('contig_size', 3)","('contig_size', 4)","('contig_size', 5)","('contig_size', 6)"
Anaplasmataceae,Ehrlichia,Ehrlichia canis,,,,10000.0,,,320000.0
Anaplasmataceae,Ehrlichia,Ehrlichia chaffeensis,,,,,,,330000.0
Anaplasmataceae,Ehrlichia,Ehrlichia ruminantium,,,,,,,330000.0
Flavobacteriaceae,Capnocytophaga,Capnocytophaga canimorsus,,,490000.0,,,10000.0,
Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,,480000.0,,,20000.0,,
Flavobacteriaceae,Cellulophaga,Cellulophaga algicola,10000.0,,,490000.0,,,
Flavobacteriaceae,Cellulophaga,Cellulophaga lytica,490000.0,,,10000.0,,,
