,cluster,"('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia canis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia chaffeensis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia ruminantium')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga canimorsus')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga algicola')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga lytica')","('precision', '', '')"
contig_size,0,0.01,,,,,0.48999999999999999,0.5,0.5
contig_size,1,0.38181818181818183,0.072727272727272724,0.54545454545454541,,,,,0.54545454545454541
contig_size,2,,,,,1.0,,,1.0
contig_size,3,,,,1.0,,,,1.0
contig_size,4,0.2558139534883721,0.67441860465116277,0.069767441860465115,,,,,0.67441860465116277
contig_size,5,,,,,1.0,,,1.0
contig_size,6,,,,0.97999999999999998,,0.02,,0.97999999999999998
