,cluster,"('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia canis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia chaffeensis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia ruminantium')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga canimorsus')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga algicola')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga lytica')","('precision', '', '')"
contig_size,0,,,,,,0.02,0.97999999999999998,0.97999999999999998
contig_size,1,,,,1.0,,,,1.0
contig_size,2,0.019607843137254902,,,,,0.96078431372549022,0.019607843137254902,0.96078431372549022
contig_size,3,0.2558139534883721,0.67441860465116277,0.069767441860465115,,,,,0.67441860465116277
contig_size,4,,,,,1.0,,,1.0
contig_size,5,0.38181818181818183,0.072727272727272724,0.54545454545454541,,,,,0.54545454545454541
contig_size,6,,,,1.0,,,,1.0
