,cluster,"('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia canis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia chaffeensis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia ruminantium')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga canimorsus')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga algicola')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga lytica')","('precision', '', '')"
contig_size,0,,,,0.49473684210526314,,0.49473684210526314,0.010526315789473684,0.49473684210526314
contig_size,1,0.38181818181818183,0.072727272727272724,0.54545454545454541,,,,,0.54545454545454541
contig_size,2,,,,1.0,,,,1.0
contig_size,3,,,,,,1.0,,1.0
contig_size,4,,,,,,,1.0,1.0
contig_size,5,,,,0.038461538461538464,0.96153846153846156,,,0.96153846153846156
contig_size,6,0.27272727272727271,0.65909090909090906,0.068181818181818177,,,,,0.65909090909090906
