,cluster,"('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia canis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia chaffeensis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia ruminantium')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga canimorsus')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga algicola')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga lytica')","('precision', '', '')"
contig_size,0,0.010101010101010102,,,,,0.48484848484848486,0.50505050505050508,0.50505050505050508
contig_size,1,,,,1.0,,,,1.0
contig_size,2,0.58333333333333337,0.1111111111111111,0.30555555555555558,,,,,0.58333333333333337
contig_size,3,,,,,1.0,,,1.0
contig_size,4,0.050000000000000003,,0.94999999999999996,,,,,0.94999999999999996
contig_size,5,,,,0.96078431372549022,,0.039215686274509803,,0.96078431372549022
contig_size,6,0.23809523809523808,0.69047619047619047,0.071428571428571425,,,,,0.69047619047619047
