,cluster,"('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia canis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia chaffeensis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia ruminantium')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga canimorsus')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga algicola')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga lytica')","('precision', '', '')"
contig_size,0,0.010416666666666666,,,,,0.47916666666666669,0.51041666666666663,0.51041666666666663
contig_size,1,,,,,,0.66666666666666663,0.33333333333333331,0.66666666666666663
contig_size,2,,,,,1.0,,,1.0
contig_size,3,,,,1.0,,,,1.0
contig_size,4,0.2558139534883721,0.67441860465116277,0.069767441860465115,,,,,0.67441860465116277
contig_size,5,0.38181818181818183,0.072727272727272724,0.54545454545454541,,,,,0.54545454545454541
contig_size,6,,,,0.96078431372549022,,0.039215686274509803,,0.96078431372549022
