,cluster,"('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia canis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia chaffeensis')","('Anaplasmataceae', 'Ehrlichia', 'Ehrlichia ruminantium')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga canimorsus')","('Flavobacteriaceae', 'Capnocytophaga', 'Capnocytophaga ochracea')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga algicola')","('Flavobacteriaceae', 'Cellulophaga', 'Cellulophaga lytica')","('precision', '', '')"
contig_size,0,,,,,,0.02,0.97999999999999998,0.97999999999999998
contig_size,1,,,,,1.0,,,1.0
contig_size,2,,,,1.0,,,,1.0
contig_size,3,0.019607843137254902,,,,,0.96078431372549022,0.019607843137254902,0.96078431372549022
contig_size,4,,,,,1.0,,,1.0
contig_size,5,,,,1.0,,,,1.0
contig_size,6,0.32653061224489793,0.33673469387755101,0.33673469387755101,,,,,0.33673469387755101
