family,genus,species,"('contig_size', 0)","('contig_size', 1)","('contig_size', 2)","('contig_size', 3)","('contig_size', 4)","('contig_size', 5)","('contig_size', 6)","('recall', '')"
Anaplasmataceae,Ehrlichia,Ehrlichia canis,0.030303030303030304,,,,0.33333333333333331,0.63636363636363635,,0.63636363636363635
Anaplasmataceae,Ehrlichia,Ehrlichia chaffeensis,,,,,0.87878787878787878,0.12121212121212122,,0.87878787878787878
Anaplasmataceae,Ehrlichia,Ehrlichia ruminantium,,,,,0.090909090909090912,0.90909090909090906,,0.90909090909090906
Flavobacteriaceae,Capnocytophaga,Capnocytophaga canimorsus,,,,0.02,,,0.97999999999999998,0.97999999999999998
Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,,,1.0,,,,,1.0
Flavobacteriaceae,Cellulophaga,Cellulophaga algicola,0.92000000000000004,0.040000000000000001,,,,,0.040000000000000001,0.92000000000000004
Flavobacteriaceae,Cellulophaga,Cellulophaga lytica,0.97999999999999998,0.02,,,,,,0.97999999999999998
