contig38905	5668
contig38904	5053
contig38907	5104
contig38906	5060
contig38901	4036
contig38900	2325
contig38903	5077
contig38902	4812
contig52546	4136
contig68187	1604
contig38909	5006
contig38908	4992
contig09789	24503
contig09788	38043
contig09783	27250
contig09782	24546
contig09781	32327
contig09780	29516
contig09787	23275
contig09786	43546
contig09785	38642
contig09784	24467
contig11724	28215
contig11725	26454
contig11726	30475
contig11727	28696
contig11720	36045
contig11721	24830
contig11722	18906
contig11723	33626
contig59732	3054
contig56083	1182
contig11728	21306
contig11729	21443
contig93869	913
contig39796	6428
contig25239	15120
contig25238	7271
contig135755	387
contig133609	224
contig135754	186
contig135753	546
contig39795	4209
contig13932	22118
contig86949	1029
contig135751	346
contig67408	1857
contig135750	604
contig145035	587
contig100995	1023
contig04406	67852
contig04405	62991
contig04404	61988
contig100991	1037
contig100990	867
contig04401	62728
contig04400	63390
contig39794	4337
contig100999	862
contig100998	975
contig04409	60198
contig04408	67468
contig98619	1743
contig98618	624
contig98613	624
contig98612	805
contig98611	1154
contig98610	610
contig98617	791
contig98616	785
contig98615	835
contig98614	1070
contig61477	2287
contig61476	1216
contig61475	2773
contig61474	3295
contig61473	2411
contig25237	6637
contig61471	4207
contig61470	3041
contig25236	8323
contig61479	1707
contig61478	2060
contig134660	650
contig134661	895
contig134662	867
contig134663	877
contig134664	321
contig134665	786
contig134666	607
contig134667	603
contig134668	342
contig134669	562
contig69648	4384
contig69649	5467
contig136293	601
contig136292	1682
contig136291	1091
contig136290	417
contig136297	812
contig136296	1084
contig136295	167
contig136294	115
contig56336	2577
contig56337	1613
contig136299	408
contig136298	1173
contig56332	3122
contig56333	7468
contig56330	2339
contig139886	518
contig32998	6300
contig32999	4879
contig32994	7696
contig32995	9149
contig32996	7731
contig32997	5647
contig32990	12158
contig32991	7374
contig32992	9530
contig32993	9705
contig93595	711
contig84234	1691
contig58775	2981
contig96683	1434
contig15720	14437
contig15721	18634
contig15722	22043
contig15723	20673
contig15724	35766
contig15725	15536
contig15726	13766
contig15727	20600
contig15728	12716
contig15729	14689
contig96681	1147
contig59304	3152
contig84235	1330
contig58776	1366
contig59305	2886
contig59302	3449
contig59303	3237
contig128221	456
contig128220	537
contig128223	560
contig128222	542
contig128225	338
contig128224	215
contig128227	484
contig128226	380
contig128229	342
contig128228	400
contig17760	13991
contig17761	16757
contig17766	19950
contig17767	15648
contig17764	11081
contig17765	25011
contig68119	2586
contig68118	1300
contig68113	1575
contig68112	1366
contig68111	1752
contig68110	2282
contig68117	1458
contig68116	5428
contig68115	2134
contig68114	1427
contig58770	3353
contig127909	305
contig127908	578
contig76369	1388
contig76368	1199
contig127905	295
contig127904	928
contig127907	672
contig127906	644
contig127901	1110
contig127900	100
contig127903	973
contig127902	92
contig80281	1525
contig43062	4163
contig78721	1259
contig63031	1046
contig63030	1996
contig131908	818
contig131909	608
contig63035	1949
contig63034	1926
contig63037	1311
contig63036	1498
contig131902	430
contig131903	572
contig131900	216
contig131901	615
contig131906	1799
contig131907	174
contig131904	635
contig131905	350
contig84231	600
contig58772	3417
contig78720	1217
contig67802	4013
contig128485	346
contig128484	636
contig128487	636
contig128486	711
contig128481	300
contig128480	447
contig128483	427
contig128482	472
contig44829	7537
contig44828	5062
contig62429	2773
contig128489	643
contig128488	356
contig137500	448
contig137501	415
contig137502	421
contig137503	538
contig137504	321
contig137505	327
contig137506	354
contig137507	682
contig137508	329
contig137509	292
contig78723	637
contig142591	323
contig129572	253
contig129573	474
contig129570	282
contig129571	396
contig129576	1354
contig129577	354
contig129574	274
contig129575	593
contig94455	696
contig94454	666
contig129578	669
contig129579	1087
contig94451	1178
contig94450	395
contig94453	1341
contig94452	833
contig84233	1733
contig09720	25498
contig63933	1983
contig96884	952
contig97352	1046
contig70549	3308
contig63699	1781
contig63698	1870
contig78725	2042
contig63695	2889
contig63694	1899
contig63697	2171
contig63696	2844
contig63691	1526
contig63690	2219
contig63693	2581
contig63692	2045
contig08118	34943
contig43841	4401
contig62340	2193
contig62341	2226
contig62342	3028
contig20855	34749
contig62344	2594
contig62345	3894
contig62346	2446
contig62347	3033
contig62348	3207
contig62349	1812
contig75474	2641
contig75475	1183
contig75472	1871
contig42522	5364
contig75470	1164
contig75471	1733
contig65697	2312
contig65696	2574
contig65695	1897
contig65694	2181
contig65693	1795
contig20850	21312
contig65691	3015
contig65690	1896
contig72125	1377
contig72124	2860
contig72127	11877
contig20851	16252
contig72121	1556
contig72120	2275
contig65699	1727
contig65698	2160
contig122627	398
contig122626	507
contig122625	414
contig122624	593
contig122623	455
contig122622	541
contig122621	597
contig122620	1038
contig122629	939
contig122628	580
contig66349	1766
contig86674	759
contig58778	4829
contig78726	1629
contig91301	1020
contig20858	8897
contig91306	977
contig20859	9048
contig91307	1538
contig111197	959
contig111196	896
contig111195	747
contig111194	663
contig111193	746
contig111192	552
contig111191	1021
contig111190	357
contig47701	3293
contig47700	4508
contig47703	5390
contig47702	4076
contig47705	3579
contig47704	2559
contig111199	1001
contig111198	1016
contig80483	1005
contig69391	1980
contig126289	601
contig126288	844
contig80482	885
contig126285	391
contig126284	372
contig126287	290
contig126286	293
contig126281	641
contig126280	509
contig126283	478
contig126282	603
contig66967	2386
contig74989	4976
contig104411	748
contig84239	1690
contig74985	2377
contig74984	2392
contig74987	1261
contig74986	4716
contig74981	1148
contig74980	2711
contig51682	2037
contig74982	1994
contig27444	9797
contig27445	10375
contig27446	6914
contig27447	8814
contig27440	38639
contig27441	17300
contig27442	16862
contig27443	8072
contig80484	1200
contig27448	6759
contig27449	12214
contig69399	2023
contig151979	385
contig151978	332
contig151975	140
contig151974	100
contig151977	389
contig151976	71
contig151971	351
contig151970	68
contig151973	158
contig151972	285
contig78383	1648
contig78382	1444
contig37469	5602
contig37468	5887
contig78387	1284
contig46621	4101
contig78385	1638
contig78384	1606
contig37463	5184
contig37462	5567
contig37461	4910
contig37460	4782
contig37467	3376
contig37466	6267
contig37465	10098
contig37464	4960
contig00771	233890
contig00770	215346
contig00773	200633
contig00772	234648
contig00775	306993
contig00774	298489
contig00777	199247
contig00776	235054
contig00779	206577
contig00778	285132
contig68192	2010
contig73451	1204
contig73456	1398
contig100997	656
contig42289	3183
contig42288	7125
contig61868	1548
contig61869	3654
contig41958	5307
contig100996	911
contig124669	607
contig124668	754
contig124665	272
contig109242	728
contig124667	376
contig124666	370
contig124661	571
contig124660	370
contig124663	442
contig04402	64107
contig86671	1029
contig38528	2136
contig100993	924
contig82599	5073
contig82598	937
contig82597	1231
contig82596	1313
contig82595	1375
contig109241	820
contig82593	2191
contig82592	1363
contig82591	962
contig81426	872
contig46078	4945
contig46079	4141
contig74174	2070
contig102545	677
contig60879	2584
contig46070	2918
contig46071	4243
contig46072	1798
contig46073	2282
contig46074	4180
contig46075	3520
contig46076	3598
contig46077	3496
contig67383	3431
contig62874	1705
contig127158	245
contig127159	485
contig127156	479
contig127157	590
contig127154	691
contig127155	555
contig127152	932
contig127153	377
contig127150	859
contig127151	819
contig26719	15721
contig26718	12751
contig109248	557
contig43041	5708
contig26713	24095
contig26712	16401
contig26711	7278
contig109249	830
contig26717	7884
contig26716	8364
contig26715	13558
contig26714	8316
contig95434	924
contig51685	2627
contig67385	5333
contig95435	359
contig81424	1394
contig91745	1113
contig88576	1198
contig146579	484
contig146578	428
contig60897	11137
contig30169	6508
contig30168	6722
contig146571	377
contig146570	152
contig146573	145
contig146572	265
contig146575	192
contig146574	185
contig30161	9787
contig30160	13753
contig79032	1189
contig06214	40396
contig79030	700
contig20460	26626
contig79036	2171
contig79037	1736
contig79034	982
contig06215	44964
contig121015	791
contig79038	1447
contig46624	3771
contig06216	57420
contig121014	468
contig07200	46133
contig07201	57592
contig07202	45478
contig07203	32139
contig07204	149242
contig07205	54893
contig07206	52815
contig07207	39047
contig07208	46007
contig07209	31251
contig70183	1166
contig121016	676
contig70185	2963
contig70184	1783
contig70187	2663
contig06211	75014
contig75771	1765
contig06212	99538
contig68476	2257
contig75770	1916
contig88574	887
contig06213	45438
contig74170	1233
contig60895	2068
contig84032	708
contig75772	1625
contig49578	2791
contig49579	5201
contig49574	2635
contig49575	2268
contig49576	4027
contig49577	3301
contig49570	3270
contig49571	3855
contig49572	4192
contig49573	2418
contig73384	1845
contig83072	1618
