Ehrlichia canis	-296.416880121	24.5161623898	-300.514005515	24.5161623898	-944.491485843	487.953522001
Ehrlichia ruminantium	-318.300885394	71.4429050405	-324.85705553	71.4429050405	-944.491485843	487.953522001
Ehrlichia chaffeensis	-304.499277758	30.9257888215	-305.867532652	30.9257888215	-944.491485843	487.953522001
Neorickettsia risticii	-321.13498222	16.8246212289	-320.92931438	16.8246212289	-548.354636385	198.354777903
Neorickettsia sennetsu	-321.72094728	19.2456810135	-321.49041768	19.2456810135	-548.354636385	198.354777903
Anaplasma marginale	-325.672323485	14.858628751	-360.909855364	14.858628751	-516.673510769	155.142813035
Anaplasma centrale	-337.517635697	33.3760268992	-375.0447945	33.3760268992	-516.673510769	155.142813035
Anaplasma phagocytophilum	-342.301314939	80.1260767619	-405.103391955	80.1260767619	-516.673510769	155.142813035
Wolbachia endosymbiont of Culex quinquefasciatus	-317.38709272	35.2054008717	-317.55627698	35.2054008717	-695.541520032	331.427415149
Wolbachia endosymbiont of Brugia malayi	-305.04478772	12.7333510152	-306.3041092	12.7333510152	-695.541520032	331.427415149
Cellulophaga algicola	-317.66355424	32.1426719507	-343.18821022	32.1426719507	-732.046073359	350.600942723
Cellulophaga lytica	-314.59927996	48.024162872	-337.69327964	48.024162872	-732.046073359	350.600942723
Capnocytophaga canimorsus	-321.7036486	37.6083737079	-362.27613362	37.6083737079	-609.706038121	246.383810656
Capnocytophaga ochracea	-333.92373816	33.4444068213	-366.83794502	33.4444068213	-609.706038121	246.383810656
Flavobacterium columnare	-315.49422205	29.7009661857	-335.551086238	29.7009661857	-699.436954131	325.084321093
Flavobacterium psychrophilum	-347.09593725	111.022596713	-358.969445963	111.022596713	-699.436954131	325.084321093
Flavobacterium branchiophilum	-330.03859175	42.6434232167	-351.800328563	42.6434232167	-699.436954131	325.084321093
Flavobacterium johnsoniae	-311.9144696	11.9385775778	-335.477628975	11.9385775778	-699.436954131	325.084321093
Flavobacterium indicum	-319.3295515	59.5611958282	-333.6156004	59.5611958282	-699.436954131	325.084321093
Fervidobacterium nodosum	-315.49572784	16.8935465297	-336.72357878	16.8935465297	-619.307639337	267.093623366
Fervidobacterium pennivorans	-319.00563266	14.0404369293	-335.80404038	14.0404369293	-619.307639337	267.093623366
Thermotoga lettingae	-308.644245059	7.21063487515	-411.420658494	7.21063487515	-593.895896993	177.653309533
Thermotoga thermarum	-316.532523471	11.1616049902	-413.661373059	11.1616049902	-593.895896993	177.653309533
Thermotoga neapolitana	-338.975205176	47.7070268083	-375.018003718	47.7070268083	-593.895896993	177.653309533
Thermotoga naphthophila	-331.471049706	35.142314014	-367.448416729	35.142314014	-593.895896993	177.653309533
Thermotoga petrophila	-329.332062353	27.579351705	-362.8716074	27.579351705	-593.895896993	177.653309533
Thermotoga maritima	-332.653718882	46.9521329998	-364.519527235	46.9521329998	-593.895896993	177.653309533
Thermosipho africanus	-336.17071788	151.837110945	-339.19893158	151.837110945	-786.034853566	388.234363686
Thermosipho melanesiensis	-308.12650044	36.0576870478	-311.41342946	36.0576870478	-786.034853566	388.234363686
Agrobacterium tumefaciens	-324.05306888	36.5643211568	-334.657541707	36.5643211568	-609.706792471	277.914156104
Agrobacterium fabrum	-316.169479	22.4387252501	-325.08161982	22.4387252501	-609.706792471	277.914156104
Agrobacterium vitis	-323.53369768	24.6767764487	-337.628168013	24.6767764487	-609.706792471	277.914156104
Sinorhizobium medicae	-314.090879848	15.6962784506	-315.607180636	15.6962784506	-698.614640023	343.909641669
Sinorhizobium fredii	-321.498398697	40.6362184759	-322.371267636	40.6362184759	-698.614640023	343.909641669
Sinorhizobium meliloti	-320.520690758	36.8719947253	-320.321951879	36.8719947253	-698.614640023	343.909641669
Rhizobium etli	-320.6531496	30.5429958298	-320.81722368	30.5429958298	-673.922601771	321.825810392
Rhizobium leguminosarum	-314.08318372	16.5757689346	-313.48897128	16.5757689346	-673.922601771	321.825810392
Candidatus Liberibacter solanacearum	-327.98845362	42.0008193073	-332.27546854	42.0008193073	-614.502603836	262.840540786
Candidatus Liberibacter asiaticus	-319.17248242	39.5375097232	-324.11237664	39.5375097232	-614.502603836	262.840540786
Borrelia bavariensis	-305.49835925	8.97718454851	-inf	8.97718454851	-inf	nan
Borrelia bissettii	-307.581458	23.9867296191	-inf	23.9867296191	-inf	nan
Borrelia duttonii	-278.49278825	11.5977736386	-inf	11.5977736386	-inf	nan
Borrelia recurrentis	-287.50174025	6.53280140338	-342.38386017	6.53280140338	-inf	nan
Borrelia garinii	-314.2377355	12.115506571	-inf	12.115506571	-inf	nan
Borrelia turicatae	-294.11296575	14.5560690979	-inf	14.5560690979	-inf	nan
Borrelia afzelii	-inf	nan	-inf	nan	-inf	nan
Borrelia burgdorferi	-300.22983475	17.8378716223	-inf	17.8378716223	-inf	nan
Borrelia crocidurae	-289.98130275	13.3855874657	-inf	13.3855874657	-inf	nan
Borrelia hermsii	-inf	nan	-inf	nan	-inf	nan
Treponema azotonutricium	-356.378112786	36.7703668808	-465.885478357	36.7703668808	-536.522308731	158.938677111
Treponema brennaborense	-330.9656895	20.9515103186	-524.508029083	20.9515103186	-536.522308731	158.938677111
Treponema succinifaciens	-329.129309	44.8622692493	-497.807873226	44.8622692493	-536.522308731	158.938677111
Treponema paraluiscuniculi	-345.393929214	22.3726449115	-526.311985583	22.3726449115	-536.522308731	158.938677111
Treponema denticola	-342.489326571	35.3902719106	-499.239063667	35.3902719106	-536.522308731	158.938677111
Treponema primitia	-349.833747	26.6488773176	-510.540431345	26.6488773176	-536.522308731	158.938677111
Treponema pallidum	-339.753640357	20.1352065041	-490.99514594	20.1352065041	-536.522308731	158.938677111
Spirochaeta coccoides	-333.5348573	34.2290997768	-436.902477875	34.2290997768	-582.118910633	240.927774199
Spirochaeta thermophila	-327.17758835	27.9167257483	-537.984182637	27.9167257483	-582.118910633	240.927774199
Spirochaeta africana	-325.44832145	15.3432849633	-469.159672162	15.3432849633	-582.118910633	240.927774199
Spirochaeta caldaria	-350.25454885	35.2602943921	-480.958182863	35.2602943921	-582.118910633	240.927774199
Spirochaeta smaragdinae	-344.0629703	33.8938767601	-452.698608775	33.8938767601	-582.118910633	240.927774199
Klebsiella variicola	-336.091402242	44.6954761568	-337.383597424	44.6954761568	-526.275093615	201.286199549
Klebsiella oxytoca	-340.448732758	52.8482096653	-349.47606153	52.8482096653	-526.275093615	201.286199549
Klebsiella pneumoniae	-358.960645424	89.9806372375	-359.593831576	89.9806372375	-526.275093615	201.286199549
Dickeya dadantii	-338.94395244	29.066015135	-340.79098456	29.066015135	-504.451477718	178.207406518
Dickeya zeae	-349.67012498	57.1385323073	-351.78909316	57.1385323073	-504.451477718	178.207406518
Shigella flexneri	-329.74708776	23.1664043532	-330.1495938	23.1664043532	-478.413843644	138.898510582
Shigella sonnei	-332.97938308	20.0606989418	-333.113087333	20.0606989418	-478.413843644	138.898510582
Shigella dysenteriae	-338.39878864	27.5759998225	-338.7247972	27.5759998225	-478.413843644	138.898510582
Shigella boydii	-338.04546772	31.7146934145	-338.368504093	31.7146934145	-478.413843644	138.898510582
Citrobacter rodentium	-342.64597122	47.817066391	-346.01637944	47.817066391	-498.933886801	168.711407178
Citrobacter koseri	-336.98865976	35.8451686698	-340.13200064	35.8451686698	-498.933886801	168.711407178
Xenorhabdus nematophila	-349.09928898	40.1995556213	-350.09236792	40.1995556213	-481.022407916	131.832704999
Xenorhabdus bovienii	-349.76173252	38.0906251505	-351.61147472	38.0906251505	-481.022407916	131.832704999
Escherichia fergusonii	-342.77470198	37.1563659023	-344.446726	37.1563659023	-475.393608891	132.414413047
Escherichia coli	-338.7262181	29.4846906411	-339.5780848	29.4846906411	-475.393608891	132.414413047
Cronobacter sakazakii	-339.27838258	55.2719776464	-339.3771253	55.2719776464	-532.344076233	201.433023664
Cronobacter turicensis	-336.21224446	33.310460066	-337.58345818	33.310460066	-532.344076233	201.433023664
Candidatus Blochmannia vafer	-307.36527628	27.7781886325	-317.15742104	27.7781886325	-813.762561825	388.451553242
Candidatus Blochmannia pennsylvanicus	-313.72861364	34.7658343359	-318.04506456	34.7658343359	-813.762561825	388.451553242
Pantoea vagans	-338.58616962	57.8110703142	-351.9031759	57.8110703142	-511.545744992	180.940101118
Pantoea ananatis	-340.25475284	59.0098910601	-347.330088	59.0098910601	-511.545744992	180.940101118
Enterobacter asburiae	-335.258252182	27.3453701484	-350.362127939	27.3453701484	-507.297689794	181.43673147
Enterobacter aerogenes	-357.941003242	87.752734445	-371.148785545	87.752734445	-507.297689794	181.43673147
Enterobacter cloacae	-357.572794879	62.2329026676	-362.519703591	62.2329026676	-507.297689794	181.43673147
Yersinia pseudotuberculosis	-343.077437152	34.6003997908	-344.165535788	34.6003997908	-472.729517996	117.616925679
Yersinia enterocolitica	-334.831293758	26.5940097533	-337.100002955	26.5940097533	-472.729517996	117.616925679
Yersinia pestis	-343.634280455	31.9481170899	-344.845792106	31.9481170899	-472.729517996	117.616925679
Edwardsiella ictaluri	-349.120849	39.7834637454	-355.75711798	39.7834637454	-554.19134515	222.69541808
Edwardsiella tarda	-349.10564528	45.5957959832	-358.52974996	45.5957959832	-554.19134515	222.69541808
Salmonella enterica	-343.581906	47.1818964392	-343.96342744	47.1818964392	-478.184352346	136.394830562
Salmonella bongori	-341.12351168	43.6810134932	-340.84934562	43.6810134932	-478.184352346	136.394830562
Erwinia tasmaniensis	-346.67055504	50.7324882525	-349.07092488	50.7324882525	-497.76144577	166.798864618
Erwinia pyrifoliae	-344.89237976	65.8567843063	-346.5707004	65.8567843063	-497.76144577	166.798864618
Erwinia amylovora	-339.12150336	33.0411706871	-342.238069733	33.0411706871	-497.76144577	166.798864618
Erwinia billingiae	-343.533972	43.0617656032	-353.775681333	43.0617656032	-497.76144577	166.798864618
Serratia proteamaculans	-338.71159428	61.0258885982	-940.707375	61.0258885982	-644.810578775	306.356660634
Serratia symbiotica	-354.43212268	47.6874747051	-861.63856304	47.6874747051	-644.810578775	306.356660634
Pectobacterium atrosepticum	-341.563520182	41.7882000707	-342.435243652	41.7882000707	-476.107972647	138.62924086
Pectobacterium carotovorum	-342.514445364	40.1355335107	-344.15112653	40.1355335107	-476.107972647	138.62924086
Pectobacterium wasabiae	-338.421232152	30.1510764456	-339.736152712	30.1510764456	-476.107972647	138.62924086
Haemophilus parainfluenzae	-322.52882768	19.0513656117	-331.417698427	19.0513656117	-553.883426141	198.903081685
Haemophilus parasuis	-321.81097656	22.1796589694	-333.558402907	22.1796589694	-553.883426141	198.903081685
Haemophilus influenzae	-318.53674836	12.5409032584	-324.305481573	12.5409032584	-553.883426141	198.903081685
Haemophilus ducreyi	-327.4710572	35.871146668	-336.432970213	35.871146668	-553.883426141	198.903081685
Actinobacillus pleuropneumoniae	-331.87066042	39.766174182	-352.22474586	39.766174182	-522.799439812	137.783284255
Actinobacillus succinogenes	-338.24111428	39.4345337025	-363.10224654	39.4345337025	-522.799439812	137.783284255
Aggregatibacter aphrophilus	-334.1831599	29.0439499862	-338.85067316	29.0439499862	-503.615839736	133.486409653
Aggregatibacter actinomycetemcomitans	-330.08501954	34.1741973725	-340.34527766	34.1741973725	-503.615839736	133.486409653
Pyrobaculum arsenaticum	-351.868944941	73.3677877323	-369.455510741	73.3677877323	-550.360632444	138.696556735
Pyrobaculum calidifontis	-330.815732529	21.5322840495	-356.9462474	21.5322840495	-550.360632444	138.696556735
Pyrobaculum oguniense	-372.147894603	50.4223391294	-380.380697382	50.4223391294	-550.360632444	138.696556735
Pyrobaculum islandicum	-365.742765706	36.2608359082	-408.730243047	36.2608359082	-550.360632444	138.696556735
Pyrobaculum aerophilum	-343.981986294	25.1298666892	-378.198653988	25.1298666892	-550.360632444	138.696556735
Thermoproteus uzoniensis	-364.4440714	127.857825264	-377.5851962	127.857825264	-619.823958742	198.758755652
Thermoproteus tenax	-340.96373926	26.4915060892	-361.17168772	26.4915060892	-619.823958742	198.758755652
Vulcanisaeta moutnovskia	-333.55137774	30.073286973	-345.5482125	30.073286973	-587.225387944	160.788084117
Vulcanisaeta distributa	-335.13000484	25.5623659055	-341.63289334	25.5623659055	-587.225387944	160.788084117
Burkholderia phymatum	-307.9780574	11.5692440743	-323.545004621	11.5692440743	-837.275205573	425.511555324
Burkholderia ambifaria	-317.82213575	32.6532720207	-330.943736422	32.6532720207	-837.275205573	425.511555324
Burkholderia multivorans	-315.7009257	24.8848245383	-328.21008135	24.8848245383	-837.275205573	425.511555324
Burkholderia cenocepacia	-305.3965307	18.0964178351	-323.553731228	18.0964178351	-837.275205573	425.511555324
Burkholderia thailandensis	-329.60063635	126.762921286	-350.194471	126.762921286	-837.275205573	425.511555324
Burkholderia glumae	-321.7043168	34.8573190135	-353.045054116	34.8573190135	-837.275205573	425.511555324
Burkholderia phytofirmans	-330.2326376	19.6912032137	-352.801682653	19.6912032137	-837.275205573	425.511555324
Burkholderia vietnamiensis	-310.69641435	30.1820222438	-326.471763622	30.1820222438	-837.275205573	425.511555324
Burkholderia pseudomallei	-293.1512368	8.52616020673	-316.794429221	8.52616020673	-837.275205573	425.511555324
Burkholderia rhizoxinica	-324.2155456	30.8676275267	-388.203340505	30.8676275267	-837.275205573	425.511555324
Burkholderia gladioli	-481.996243	258.712669696	-488.547189737	258.712669696	-837.275205573	425.511555324
Burkholderia mallei	-306.58278445	22.3069279918	-332.086686239	22.3069279918	-837.275205573	425.511555324
Burkholderia xenovorans	-326.37056645	30.1407600565	-378.855598639	30.1407600565	-837.275205573	425.511555324
Ralstonia pickettii	-317.21327114	29.5815657896	-327.45566804	29.5815657896	-788.990287328	421.718228653
Ralstonia solanacearum	-327.18567524	48.0824975355	-336.63868996	48.0824975355	-788.990287328	421.718228653
Cupriavidus metallidurans	-330.035535	42.5833555645	-344.52501916	42.5833555645	-801.841419064	423.798946036
Cupriavidus necator	-320.99786144	32.9431694042	-327.94600656	32.9431694042	-801.841419064	423.798946036
Cupriavidus pinatubonensis	-313.46340436	36.8860108806	-321.88512788	36.8860108806	-801.841419064	423.798946036
Cupriavidus taiwanensis	-300.1374426	16.8899890031	-312.202927907	16.8899890031	-801.841419064	423.798946036
Chlorobium chlorochromatii	-361.72483016	92.1349005581	-480.804387867	92.1349005581	-516.343172321	154.757280219
Chlorobium phaeobacteroides	-369.93504912	98.5024983196	-413.98878352	98.5024983196	-516.343172321	154.757280219
Chlorobium limicola	-352.22684024	75.6773633803	-404.902704613	75.6773633803	-516.343172321	154.757280219
Chlorobium phaeovibrioides	-331.71154324	33.6178326523	-396.309461347	33.6178326523	-516.343172321	154.757280219
Pelodictyon phaeoclathratiforme	-343.33842098	56.9868918363	-436.84677334	56.9868918363	-538.960987311	205.344951548
Pelodictyon luteolum	-330.43373476	33.3557958013	-413.6809746	33.3557958013	-538.960987311	205.344951548
Chlorobaculum parvum	-352.36364218	77.6128547521	-353.65309514	77.6128547521	-554.127724556	229.505788615
Chlorobaculum tepidum	-338.38145566	40.8328521544	-339.0264811	40.8328521544	-554.127724556	229.505788615
